# zone  xi   theta  dtheta/dxi
176   1.086058      0.823072      -0.302938
177   1.092194      0.821213      -0.304074
178   1.098330      0.819347      -0.305202
179   1.104466      0.817475      -0.306320
180   1.110602      0.815595      -0.307430
181   1.116738      0.813709      -0.308531
182   1.122874      0.811816      -0.309623
183   1.129010      0.809916      -0.310706
184   1.135146      0.808009      -0.311780
185   1.141282      0.806096      -0.312846
186   1.147418      0.804177      -0.313902
187   1.153554      0.802250      -0.314950
188   1.159689      0.800318      -0.315988
189   1.165825      0.798379      -0.317018
190   1.171961      0.796434      -0.318038
191   1.178097      0.794482      -0.319050
192   1.184233      0.792525      -0.320052
193   1.190369      0.790561      -0.321046
194   1.196505      0.788591      -0.322031
195   1.202641      0.786615      -0.323006
196   1.208777      0.784633      -0.323973
197   1.214913      0.782645      -0.324930
198   1.221049      0.780652      -0.325879
199   1.227185      0.778652      -0.326818
200   1.233321      0.776647      -0.327748
201   1.239456      0.774636      -0.328669
202   1.245592      0.772619      -0.329581
203   1.251728      0.770597      -0.330484
204   1.257864      0.768569      -0.331378
205   1.264000      0.766535      -0.332263
206   1.270136      0.764497      -0.333139
207   1.276272      0.762453      -0.334006
208   1.282408      0.760403      -0.334863
209   1.288544      0.758349      -0.335711
210   1.294680      0.756289      -0.336551
211   1.300816      0.754224      -0.337381
212   1.306952      0.752153      -0.338202
213   1.313088      0.750078      -0.339014
214   1.319223      0.747998      -0.339816
215   1.325359      0.745913      -0.340610
216   1.331495      0.743823      -0.341394
217   1.337631      0.741728      -0.342170
218   1.343767      0.739629      -0.342936
219   1.349903      0.737525      -0.343693
220   1.356039      0.735416      -0.344441
221   1.362175      0.733302      -0.345180
222   1.368311      0.731184      -0.345910
223   1.374447      0.729062      -0.346630
224   1.380583      0.726935      -0.347342
225   1.386719      0.724804      -0.348044
226   1.392855      0.722668      -0.348737
227   1.398990      0.720528      -0.349422
228   1.405126      0.718384      -0.350097
229   1.411262      0.716236      -0.350763
230   1.417398      0.714084      -0.351419
231   1.423534      0.711927      -0.352067
232   1.429670      0.709767      -0.352706
233   1.435806      0.707603      -0.353336
234   1.441942      0.705435      -0.353956
235   1.448078      0.703263      -0.354568
236   1.454214      0.701087      -0.355170
237   1.460350      0.698908      -0.355763
238   1.466486      0.696725      -0.356348
239   1.472622      0.694539      -0.356923
240   1.478757      0.692349      -0.357489
241   1.484893      0.690155      -0.358047
242   1.491029      0.687958      -0.358595
243   1.497165      0.685758      -0.359134
244   1.503301      0.683554      -0.359665
245   1.509437      0.681347      -0.360186
246   1.515573      0.679137      -0.360699
247   1.521709      0.676924      -0.361202
248   1.527845      0.674708      -0.361697
249   1.533981      0.672488      -0.362182
250   1.540117      0.670266      -0.362659
251   1.546253      0.668041      -0.363127
252   1.552389      0.665813      -0.363586
253   1.558524      0.663582      -0.364036
254   1.564660      0.661348      -0.364477
255   1.570796      0.659112      -0.364910
256   1.576932      0.656873      -0.365333
257   1.583068      0.654631      -0.365748
258   1.589204      0.652387      -0.366154
259   1.595340      0.650140      -0.366551
260   1.601476      0.647891      -0.366940
261   1.607612      0.645639      -0.367320
262   1.613748      0.643386      -0.367691
263   1.619884      0.641129      -0.368053
264   1.626020      0.638871      -0.368407
265   1.632156      0.636611      -0.368752
266   1.638291      0.634348      -0.369088
267   1.644427      0.632083      -0.369416
268   1.650563      0.629817      -0.369735
269   1.656699      0.627548      -0.370045
270   1.662835      0.625277      -0.370347
271   1.668971      0.623005      -0.370641
272   1.675107      0.620731      -0.370926
273   1.681243      0.618455      -0.371202
274   1.687379      0.616177      -0.371470
275   1.693515      0.613898      -0.371729
276   1.699651      0.611617      -0.371980
277   1.705787      0.609334      -0.372223
278   1.711923      0.607050      -0.372457
279   1.718058      0.604765      -0.372683
280   1.724194      0.602478      -0.372900
281   1.730330      0.600190      -0.373109
282   1.736466      0.597901      -0.373310
283   1.742602      0.595610      -0.373503
284   1.748738      0.593319      -0.373687
285   1.754874      0.591026      -0.373863
286   1.761010      0.588732      -0.374031
287   1.767146      0.586437      -0.374190
288   1.773282      0.584141      -0.374342
289   1.779418      0.581844      -0.374485
290   1.785554      0.579546      -0.374620
291   1.791690      0.577247      -0.374748
292   1.797825      0.574948      -0.374867
293   1.803961      0.572648      -0.374978
294   1.810097      0.570347      -0.375081
295   1.816233      0.568045      -0.375176
296   1.822369      0.565743      -0.375263
297   1.828505      0.563441      -0.375342
298   1.834641      0.561138      -0.375413
299   1.840777      0.558834      -0.375477
300   1.846913      0.556530      -0.375532
301   1.853049      0.554226      -0.375580
302   1.859185      0.551921      -0.375620
303   1.865321      0.549617      -0.375653
304   1.871457      0.547312      -0.375677
305   1.877592      0.545007      -0.375694
306   1.883728      0.542701      -0.375703
307   1.889864      0.540396      -0.375705
308   1.896000      0.538091      -0.375699
309   1.902136      0.535785      -0.375685
310   1.908272      0.533480      -0.375664
311   1.914408      0.531175      -0.375635
312   1.920544      0.528870      -0.375599
313   1.926680      0.526566      -0.375556
314   1.932816      0.524261      -0.375505
315   1.938952      0.521957      -0.375446
316   1.945088      0.519654      -0.375380
317   1.951224      0.517350      -0.375307
318   1.957359      0.515047      -0.375227
319   1.963495      0.512745      -0.375139
320   1.969631      0.510443      -0.375044
321   1.975767      0.508142      -0.374942
322   1.981903      0.505841      -0.374833
323   1.988039      0.503541      -0.374717
324   1.994175      0.501242      -0.374594
325   2.000311      0.498944      -0.374463
326   2.006447      0.496646      -0.374326
327   2.012583      0.494349      -0.374181
328   2.018719      0.492053      -0.374030
329   2.024855      0.489758      -0.373871
330   2.030991      0.487464      -0.373706
331   2.037126      0.485171      -0.373534
332   2.043262      0.482879      -0.373355
333   2.049398      0.480588      -0.373169
334   2.055534      0.478299      -0.372977
335   2.061670      0.476010      -0.372778
336   2.067806      0.473723      -0.372572
337   2.073942      0.471437      -0.372359
338   2.080078      0.469152      -0.372140
339   2.086214      0.466868      -0.371914
340   2.092350      0.464586      -0.371682
341   2.098486      0.462306      -0.371444
342   2.104622      0.460027      -0.371198
343   2.110758      0.457749      -0.370947
344   2.116893      0.455473      -0.370689
345   2.123029      0.453198      -0.370424
346   2.129165      0.450925      -0.370154
347   2.135301      0.448654      -0.369877
348   2.141437      0.446385      -0.369594
349   2.147573      0.444117      -0.369304
350   2.153709      0.441851      -0.369009
351   2.159845      0.439587      -0.368707
352   2.165981      0.437324      -0.368399
353   2.172117      0.435064      -0.368085
