#zone, q, logR, logRho, logT, logP, logPgas, luminosity, x_mass_fraction_H, y_mass_fraction_He, z_mass_fraction_metals, gamma1, opacity, pp, cno, gradr, gradT, grada, actual_gradT 
250, 9.9999697999388049E-001, 6.6488272169845442E-001, -4.8172095884107211E+000, 5.7319354044824955E+000, 9.1180644172561447E+000, 9.0409413544132740E+000, 2.0247041220456642E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5256230932924337E+000, 1.2261375015778164E+000, 1.3614968140380030E-017, 0.0000000000000000E+000, 1.9527616601799413E-001, 1.9527616601799413E-001, 3.0299731501035349E-001, 1.9527615846280208E-001 
251, 9.9999677905809847E-001, 6.6447366262856111E-001, -4.7999746928564901E+000, 5.7358752774338191E+000, 9.1383646905530789E+000, 9.0621185389863363E+000, 2.0247041174251339E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5263869824055492E+000, 1.2157613613762721E+000, 1.5962592237107629E-017, 0.0000000000000000E+000, 1.9563722046929174E-001, 1.9563722046929174E-001, 3.0346823704772441E-001, 1.9563722102581194E-001 
252, 9.9999669649537615E-001, 6.6431180456082473E-001, -4.7903202296805985E+000, 5.7381107661629374E+000, 9.1497824401602070E+000, 9.0740098265849767E+000, 2.0247041155230738E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5267954818226319E+000, 1.2097953339173415E+000, 1.7462460857914099E-017, 0.0000000000000000E+000, 1.9580149938938685E-001, 1.9580149938938685E-001, 3.0372174971023214E-001, 1.9580150460194820E-001 
253, 9.9999661393265382E-001, 6.6415332969649976E-001, -4.7774155802770482E+000, 5.7411194144097095E+000, 9.1650783392233492E+000, 9.0899246212693985E+000, 2.0247041136186130E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5273223844522308E+000, 1.2017901556268709E+000, 1.9698095861830304E-017, 0.0000000000000000E+000, 1.9594973598651549E-001, 1.9594973598651549E-001, 3.0405185846326205E-001, 1.9594974078013874E-001 
254, 9.9999646870184111E-001, 6.6388232633475563E-001, -4.7615455759677427E+000, 5.7448076778979820E+000, 9.1838778763784124E+000, 9.1094844158190487E+000, 2.0247041102624633E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5279597872638706E+000, 1.1923995531681351E+000, 2.2828712827894004E-017, 0.0000000000000000E+000, 1.9621850920858466E-001, 1.9621850920858466E-001, 3.0445742503066858E-001, 1.9621851297188450E-001 
255, 9.9999632347102840E-001, 6.6362056600824026E-001, -4.7447977042882137E+000, 5.7487194099815486E+000, 9.2037537159208291E+000, 9.1301458544906051E+000, 2.0247041068991341E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5286077182837241E+000, 1.1826606416922583E+000, 2.6679623615045556E-017, 0.0000000000000000E+000, 1.9650428376396822E-001, 1.9650428376396822E-001, 3.0487839470128353E-001, 1.9650428200171774E-001 
256, 9.9999614839826789E-001, 6.6331636216986856E-001, -4.7288235767066427E+000, 5.7524440475037402E+000, 9.2227093989033317E+000, 9.1498467550662337E+000, 2.0247041028352385E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5292181790848993E+000, 1.1738155521985312E+000, 3.0939854557797985E-017, 0.0000000000000000E+000, 1.9686350040886644E-001, 1.9686350040886644E-001, 3.0528159798218452E-001, 1.9686349878586412E-001 
257, 9.9999600492563290E-001, 6.6307561648526325E-001, -4.7142276153462914E+000, 5.7558690975636750E+000, 9.2400676692395507E+000, 9.1678699202181573E+000, 2.0247040994976051E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5297606039792129E+000, 1.1658198847806487E+000, 3.5437282409718609E-017, 0.0000000000000000E+000, 1.9716795471082116E-001, 1.9716795471082116E-001, 3.0564351702542708E-001, 1.9716795512198121E-001 
258, 9.9999584492053106E-001, 6.6281555351986920E-001, -4.7015829319064055E+000, 5.7588311517727231E+000, 9.2551024214064661E+000, 9.1834784950542225E+000, 2.0247040957674031E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5302316034531596E+000, 1.1591922242904515E+000, 3.9843546487231447E-017, 0.0000000000000000E+000, 1.9751358540469094E-001, 1.9751358540469094E-001, 3.0595772700963980E-001, 1.9751358443872324E-001 
259, 9.9999573273964093E-001, 6.6263818560694043E-001, -4.6879399847784455E+000, 5.7620627210850213E+000, 9.2713806633979239E+000, 9.2003550152831632E+000, 2.0247040931473683E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5307242989316903E+000, 1.1519224785127575E+000, 4.5251204365913741E-017, 0.0000000000000000E+000, 1.9775384202985041E-001, 1.9775384202985041E-001, 3.0628619705562027E-001, 1.9775383962325963E-001 
260, 9.9999553990089085E-001, 6.6234223620821875E-001, -4.6740380484752011E+000, 5.7653342071369096E+000, 9.2879416410039113E+000, 9.2175305226532132E+000, 2.0247040886337654E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5312401952844317E+000, 1.1450023113603489E+000, 5.1471312995983043E-017, 0.0000000000000000E+000, 1.9816885656856753E-001, 1.9816885656856753E-001, 3.0662748401029633E-001, 1.9816885318394423E-001 
261, 9.9999541134172421E-001, 6.6215083029809374E-001, -4.6632910364217572E+000, 5.7678803750460750E+000, 9.3007725114040909E+000, 9.2308254871053759E+000, 2.0247040856185227E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5316351311377643E+000, 1.1396575552659487E+000, 5.6878682312284707E-017, 0.0000000000000000E+000, 1.9845464694075618E-001, 1.9845464694075618E-001, 3.0688807907696874E-001, 1.9845464392173043E-001 
262, 9.9999528278255756E-001, 6.6196385858836404E-001, -4.6502936353927904E+000, 5.7709790810671686E+000, 9.3163220094510653E+000, 9.2469239333187243E+000, 2.0247040825981865E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5321101841298961E+000, 1.1332056397392842E+000, 6.4206100747106497E-017, 0.0000000000000000E+000, 1.9872886948164603E-001, 1.9872886948164603E-001, 3.0720074064159536E-001, 1.9872886720410024E-001 
263, 9.9999508994380748E-001, 6.6169123771027138E-001, -4.6328227391064107E+000, 5.7751567430850850E+000, 9.3372476342256210E+000, 9.2685757482693845E+000, 2.0247040780578143E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5327558108923602E+000, 1.1247573404051665E+000, 7.5564650874679323E-017, 0.0000000000000000E+000, 1.9913016796373087E-001, 1.9913016796373087E-001, 3.0762349100655467E-001, 1.9913016740803868E-001 
264, 9.9999483282547408E-001, 6.6134132419870773E-001, -4.6184205396496631E+000, 5.7785770650633639E+000, 9.3544691422275470E+000, 9.2864008468855008E+000, 2.0247040719855297E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5333102857685468E+000, 1.1183049677605832E+000, 8.6337959080750764E-017, 0.0000000000000000E+000, 1.9968306461928323E-001, 1.9968306461928323E-001, 3.0798353988213373E-001, 1.9968306282916512E-001 
265, 9.9999470426630743E-001, 6.6117177029250374E-001, -4.6068692843681678E+000, 5.7813570579877140E+000, 9.3683377553104528E+000, 9.3007341370670638E+000, 2.0247040689420661E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5337457625258573E+000, 1.1129523068363860E+000, 9.6162382977918248E-017, 0.0000000000000000E+000, 1.9995635473920978E-001, 1.9995635473920978E-001, 3.0826513406120243E-001, 1.9995635197664904E-001 
266, 9.9999451142755735E-001, 6.6092375747554932E-001, -4.5885820428073121E+000, 5.7857891858572472E+000, 9.3903438798351129E+000, 9.3234566227653364E+000, 2.0247040643669454E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5344338133507738E+000, 1.1045040944918236E+000, 1.1411200212224220E-016, 0.0000000000000000E+000, 2.0033279594452133E-001, 2.0033279594452133E-001, 3.0870736491698397E-001, 2.0033279369792409E-001 
267, 9.9999417395974477E-001, 6.6050667448496769E-001, -4.5674923212683902E+000, 5.7908778106533303E+000, 9.4156987894281894E+000, 9.3496385715860004E+000, 2.0247040563310020E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5352506730263906E+000, 1.0954457353144571E+000, 1.3883977085930127E-016, 0.0000000000000000E+000, 2.0098459099643395E-001, 2.0098459099643395E-001, 3.0922917249660187E-001, 2.0098459048345554E-001 
268, 9.9999386863172390E-001, 6.6014623414837958E-001, -4.5519140347810803E+000, 5.7946404936872948E+000, 9.4344394795218260E+000, 9.3689824882985864E+000, 2.0247040490296786E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5358550693666413E+000, 1.0890364983626013E+000, 1.6044097122502671E-016, 0.0000000000000000E+000, 2.0158700739957139E-001, 2.0158700739957139E-001, 3.0961499612461058E-001, 2.0158700620037115E-001 
269, 9.9999367579297382E-001, 6.5992616783122549E-001, -4.5346849166823429E+000, 5.7988743859345213E+000, 9.4552752883167486E+000, 9.3904494553221234E+000, 2.0247040444035560E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5364880554230389E+000, 1.0816247862738875E+000, 1.8858609152308371E-016, 0.0000000000000000E+000, 2.0194336378693631E-001, 2.0194336378693631E-001, 3.1002089682510547E-001, 2.0194336290801995E-001 
270, 9.9999329011547378E-001, 6.5950221223476546E-001, -4.5181285495252066E+000, 5.8028934363084357E+000, 9.4752330872549333E+000, 9.4110288959037405E+000, 2.0247040351143947E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5371119974498031E+000, 1.0752791832801754E+000, 2.1987540227856985E-016, 0.0000000000000000E+000, 2.0264124495467040E-001, 2.0264124495467040E-001, 3.1042234377312272E-001, 2.0264124802018729E-001 
