zone,xi,theta,dtheta/dxi
734,4.509904,0.152524,-0.097626
735,4.516039,0.151925,-0.097383
736,4.522175,0.151328,-0.097140
737,4.528311,0.150731,-0.096898
738,4.534447,0.150137,-0.096657
739,4.540583,0.149544,-0.096417
740,4.546719,0.148952,-0.096177
741,4.552855,0.148362,-0.095938
742,4.558991,0.147773,-0.095700
743,4.565127,0.147186,-0.095463
744,4.571263,0.146600,-0.095226
745,4.577399,0.146016,-0.094991
746,4.583535,0.145433,-0.094755
747,4.589671,0.144852,-0.094521
748,4.595806,0.144272,-0.094287
749,4.601942,0.143693,-0.094055
750,4.608078,0.143116,-0.093822
751,4.614214,0.142541,-0.093591
752,4.620350,0.141966,-0.093360
753,4.626486,0.141393,-0.093130
754,4.632622,0.140822,-0.092901
755,4.638758,0.140252,-0.092673
756,4.644894,0.139683,-0.092445
757,4.651030,0.139116,-0.092218
758,4.657166,0.138550,-0.091991
759,4.663302,0.137986,-0.091766
760,4.669438,0.137423,-0.091541
761,4.675573,0.136861,-0.091317
762,4.681709,0.136301,-0.091093
763,4.687845,0.135742,-0.090870
764,4.693981,0.135184,-0.090648
765,4.700117,0.134628,-0.090427
766,4.706253,0.134073,-0.090206
767,4.712389,0.133520,-0.089986
768,4.718525,0.132968,-0.089767
769,4.724661,0.132417,-0.089548
770,4.730797,0.131867,-0.089330
771,4.736933,0.131319,-0.089113
772,4.743069,0.130772,-0.088896
773,4.749205,0.130227,-0.088680
774,4.755340,0.129683,-0.088465
775,4.761476,0.129140,-0.088251
776,4.767612,0.128598,-0.088037
777,4.773748,0.128058,-0.087824
778,4.779884,0.127519,-0.087611
779,4.786020,0.126982,-0.087399
780,4.792156,0.126446,-0.087188
781,4.798292,0.125911,-0.086978
782,4.804428,0.125377,-0.086768
783,4.810564,0.124844,-0.086559
784,4.816700,0.124313,-0.086350
785,4.822836,0.123783,-0.086143
786,4.828972,0.123255,-0.085935
787,4.835107,0.122728,-0.085729
788,4.841243,0.122202,-0.085523
789,4.847379,0.121677,-0.085318
790,4.853515,0.121153,-0.085113
791,4.859651,0.120631,-0.084909
792,4.865787,0.120110,-0.084706
793,4.871923,0.119590,-0.084503
794,4.878059,0.119072,-0.084302
795,4.884195,0.118555,-0.084100
796,4.890331,0.118039,-0.083899
797,4.896467,0.117524,-0.083699
798,4.902603,0.117010,-0.083500
799,4.908739,0.116498,-0.083301
